Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	36.19197 165.6 7.374735		93.89396	FALSE		0																
20002	2	3	36.19197 165.6 7.374735		93.89396	FALSE		0																
#A区																								
1001	101304	2	44.86915 165.6 2.74555		290.6561	FALSE	15|16	20001		0														
1002	101304	2	45.53141 165.6 12.734		241.5319	FALSE	15|16	20001		0														
1003	101304	2	50.60979 165.6 7.813098		243.3946	FALSE	15|16	20001		0														
1004	101305	2	51.2251 165.6 9.068191		252.3835	FALSE	15|16	20002		0														
#B区																								
2001	101301	2	51.557 166.9066 28.24428		189.2112	FALSE	15|16	20001		0														
2002	101301	2	53.80259 166.9066 27.30629		210.0785	FALSE	15|16	20001		0														
2003	101301	2	42.09894 166.9066 40.4995		149.0485	FALSE	15|16	20001		0														
2004	101301	2	40.19069 166.9066 38.9892		128.1811	FALSE	15|16	20001		0														
2005	101304	2	41.99375 166.9066 39.53582		143.0114	FALSE	15|16	20001		0														
2006	101304	2	40.05899 166.9066 37.59153		125.1096	FALSE	15|16	20001		0														
2007	101304	2	44.69343 166.9066 54.3105		179.2918	FALSE	15|16	20001		0														
2008	101304	2	42.40921 166.9066 54.84929		177.8518	FALSE	15|16	20001		0														
2009	101305	2	43.56696 166.9066 42.00883		154.285	FALSE	15|16	20002		0														
2010	101305	2	40.29372 166.9066 55.77253		178.9902	FALSE	15|16	20002		0														
#C区																								
3001	101306	2	54.73379 166.9066 83.53533		206.1639	FALSE	15|16	20004		0														
3002	101301	2	47.57842 166.9066 82.02614	48.30165 166.9066 68.81708	202.7437	FALSE	15|16	20001		1		48.30165 166.9066 68.81708												
3003	101301	2	49.39319 166.9066 81.64082	50.15137 166.9066 68.95994	213.4835	FALSE	15|16	20001		1		50.15137 166.9066 68.95994												
3004	101301	2	50.9248 166.9066 70.08385	58.46234 166.9066 80.66553	27.8101	FALSE	15|16	20001		1		58.46234 166.9066 80.66553												
3005	101301	2	52.76871 166.9066 69.87982	60.31078 166.9066 80.50768	17.07024	FALSE	15|16	20001		1		60.31078 166.9066 80.50768												
3006	101302	2	54.29425 166.9066 85.56252		206.1639	FALSE	15|16	20001		0														
3007	101302	2	57.04048 166.9066 84.28349		206.1639	FALSE	15|16	20001		0														
3008	101303	2	49.61604 166.9066 83.4333	49.85891 166.9066 70.74239	203.0853	FALSE	15|16	20002		1		49.85891 166.9066 70.74239												
3009	101303	2	51.40215 166.9066 68.20128	58.98662 166.9066 78.79549	14.83958	FALSE	15|16	20002		1		58.98662 166.9066 78.79549												
#剧情NPC																								
10001	101399	3	35.22447 165.6 9.236785		99.59878	TRUE		1		0														
