Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	14.55278 150.1949 11.34286		56.7078	FALSE		0																
20002	2	3	14.55278 150.1949 11.34286		56.7078	FALSE		0																
#A区																								
1001	202801	2	22.33395 150.013 14.86387		245.5817	FALSE	15|16|17	20001		0														
1002	202801	2	23.99272 150.1471 21.66495		292.5673	FALSE	15|16|17	20001		0														
1003	202801	2	28.40318 150.1471 16.40781		251.0508	FALSE	15|16|17	20001		0														
1004	202803	2	30.63529 150.0287 16.11174		240.7938	FALSE	15|16|17	20002		0														
1005	202802	2	23.48394 150.1949 12.27932		271.3718	FALSE	15|16|17	20001		0														
1006	202802	2	21.7172 150.1949 22.25052		141.4536	FALSE	15|16|17	20001		0														
1007	202802	2	28.90273 150.1949 14.08872		282.8076	FALSE	15|16|18	20001																
#B区																								
2001	202804	2	46.88094 150.0559 38.47919		215.022	FALSE	15|16|17	20002		0														
2002	202801	2	47.166 150.1191 35.15318		218.72	FALSE	15|16|17	20001		0														
2003	202801	2	43.93072 150.1191 36.97885		206.1951	FALSE	15|16|17	20001		0														
2004	202803	2	44.31819 150.0304 40.27355		201.3156	FALSE	15|16|17	20002		0														
2005	202803	2	48.21552 150.037 40.53344		208.1768	FALSE	15|16|17	20002		0														
2006	202803	2	49.63726 150.037 37.06695		218.0888	FALSE	15|16|17	20002		0														
#C区																								
3001	202805	2	35.66496 150.0559 69.39053		145.1988	FALSE	15|16|17	20001		0														
3002	202801	2	33.83434 150.0157 67.36568		135.1172	FALSE	15|16|17	20001		0														
3003	202801	2	38.47554 149.999 69.44361		170.493	FALSE	15|16|17	20001		0														
3004	202801	2	46.63009 150.0157 64.16451		285.8938	FALSE	15|16|17	20001		0														
3005	202803	2	34.06387 150.0157 71.41656		140.0496	FALSE	15|16|17	20002		0														
3006	202803	2	44.58944 150.0157 65.94436		161.8732	FALSE	15|16|17	20002		0														
3007	202802	2	37.0126 150.0157 66.99956		152.1369	FALSE	15|16|17	20001		0														
3008	202802	2	43.72293 150.0157 63.21062		39.03743	FALSE	15|16|17	20001		0														
