Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	80.80679 150.1528 12.62868		330.4766	FALSE		0																
20002	2	3	80.80679 150.1528 12.62868		330.4766	FALSE		0																
#A区																								
1001	202401	2	68.42234 150.1528 18.47425		305.0321	FALSE	15|16|17	20001		0														
1002	202401	2	68.74356 150.1471 26.98217		0	FALSE	15|16|17	20001		0														
1003	202401	2	70.10986 150.1471 29.25439		253.2756	FALSE	15|16|17	20001		0														
1004	202401	2	68.48398 150.2482 21.07516		234.8006	FALSE	15|16|17	20001		0														
1005	202403	2	67.71815 150.0172 29.00008		103.9576	FALSE	15|16|17	20002		0														
1006	202403	2	66.14624 150.1471 19.64964		78.84078	FALSE	15|16|17	20002		0														
1007	202401	2	78.61167 150.0092 23.5134	76.82687 150.0092 16.94399	192.815	FALSE	15|16|17	20001		1		76.82687 150.0092 16.94399												
1008	202402	2	76.47652 150.0092 23.93485	74.45386 150.0092 17.4017	149.7295	FALSE	15|16|17	20001		1		74.45386 150.0092 17.4017												
#B区																								
2001	202403	2	45.80811 150.1949 34.71883		137.8117	FALSE	15|16|17	20002		0														
2002	202403	2	49.36637 150.1949 45.39981		161.6513	FALSE	15|16|17	20002		0														
2003	202402	2	48.89428 150.1949 33.61059		286.1253	FALSE	15|16|17	20001		0														
2004	202402	2	46.28684 150.1949 31.86673		34.37968	FALSE	15|16|17	20001		0														
2005	202402	2	52.11728 150.1949 45.20502		200.1165	FALSE	15|16|17	20001		0														
2006	202402	2	48.3249 150.1949 42.93771		113.1367	FALSE	15|16|17	20001		0														
2007	202402	2	52.80745 150.1949 43.29198		191.8279	FALSE	15|16|17	20001		0														
2008	202403	2	48.06945 150.1949 35.96204		147.2071	FALSE	15|16|17	20002		0														
#C区																								
3001	202401	2	30.45091 151.2993 70.35855		0	FALSE	15|16|17	20001		0														
3002	202401	2	42.68422 151.2826 65.34508		269.9943	FALSE	15|16|17	20001		0														
3003	202401	2	30.91831 151.2993 61.56843		0	FALSE	15|16|17	20001		0														
3004	202403	2	29.02718 151.2993 64.28729		84.54354	FALSE	15|16|17	20002		0														
3005	202404	2	29.72929 151.2993 73.42642		109.0814	FALSE	15|16|17	20002		0														
3006	202402	2	44.50203 151.2993 63.78933		270.8431	FALSE	15|16|17	20001		0														
3007	202401	2	33.22357 151.2993 73.62006		273.8999	FALSE	15|16|17	20001		0														
3008	202402	2	32.93325 151.2993 64.61519		255.6729	FALSE	15|16|17	20001		0														
3009	202402	2	32.97093 151.2993 70.9762		308.1461	FALSE	15|16|17	20001		0														
