Id	LinkId	CampId	Pos	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	13.66981 150.0199 9.495226	67.41385	FALSE		0																
20002	2	3	13.66981 150.0199 9.495226	67.41385	FALSE		0																
#A区																							
1001	90011	2	17.8072 150.0199 15.7221	191.1453	FALSE	15|16|17	10110		0														
1002	90011	2	19.57772 150.0199 17.79895	202.4614	FALSE	15|16|17	10110		0														
1003	90011	2	28.88162 150.0199 13.30842	265.3412	FALSE	15|16|17	10110		0														
1004	90011	2	33.24625 150.0199 21.12497	13.88344	FALSE	15|16|17	10110		0														
1005	90012	2	16.76888 150.0199 18.26576	171.7705	FALSE	15|16|17	10120		0														
1006	90012	2	33.44619 150.0199 23.41866	216.076	FALSE	15|16|17	10120		0														
#B区																							
2001	90011	2	45.29644 150.0199 30.9277	249.9017	FALSE	15|16|17	10110		0														
2002	90011	2	44.10633 150.0199 33.41999	223.7433	FALSE	15|16|17	10110		0														
2003	90011	2	49.22144 150.0199 40.5533	197.9173	FALSE	15|16|17	10110		0														
2004	90011	2	41.73952 150.0199 45.68502	146.233	FALSE	15|16|17	10110		0														
2005	90011	2	44.37119 150.0199 46.13593	177.2192	FALSE	15|16|17	10110		0														
2006	90013	2	51.72719 150.0199 41.39615	204.5243	FALSE	15|16|17	20002		0														
2007	90013	2	42.63176 150.0199 48.1736	152.84	FALSE	15|16|17	20002		0														
#C区																							
3001	90011	2	39.4151 150.0199 60.33674	151.9479	FALSE	15|16|17	10110		0														
3002	90011	2	35.55688 150.0199 70.26599	139.6088	FALSE	15|16|17	10110		0														
3003	90011	2	37.98193 150.0199 71.8016	162.5171	FALSE	15|16|17	10110		0														
3004	90011	2	46.07711 150.0199 67.49104	218.9702	FALSE	15|16|17	10110		0														
3005	90013	2	42.1123 150.0199 61.31868	174.8562	FALSE	15|16|17	20002		0														
3006	90011	2	40.28111 150.0199 63.0044	167.8478	FALSE	15|16|17	10110		0														
3007	90013	2	35.83281 150.0199 73.05709	155.5087	FALSE	15|16|17	20002		0														
3008	90014	2	43.97896 150.0199 69.00084	194.1758	FALSE	15|16|17	10140		0														
