Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	81.01516 150.0578 13.38121		-81.95526	FALSE		0																
20002	2	3	81.01516 150.0578 13.38121		-81.95526	FALSE		0																
#A区																								
1001	202101	2	67.36835 150.0578 16.74025		130.2504	FALSE	15|16	10110		0														
1002	202101	2	66.76988 150.0578 14.08056		102.339	FALSE	15|16	10110		0														
1003	202101	2	56.77985 150.0578 22.12141		102.3389	FALSE	15|16	10110		0														
1004	202103	2	65.79901 150.0578 23.76822		186.5318	FALSE	15|16	10220		0														
1005	202103	2	63.43046 150.0578 22.7		169.5696	FALSE	15|16	10220		0														
1006	202103	2	55.08297 150.0578 20.72345		97.26848	FALSE	15|16	10220		0														
1007	202103	2	54.78539 150.0578 23.30466		114.2308	FALSE	15|16	10220		0														
#B区																								
2001	202102	2	29.44124 148.3725 42.49425		95.68459	FALSE	15|16|17	10120		0														
2002	202102	2	40.0836 148.3725 47.52562		186.346	FALSE	15|16|17	10120		0														
2003	202102	2	33.1974 148.3725 47.86944		154.1165	FALSE	17	10120		0														
2004	202103	2	39.49424 148.3725 38.84824		106.8801	FALSE	15|16	10220		0														
2005	202103	2	41.65465 148.3725 40.69851		125.6311	FALSE	15|16	10220		0														
2006	202103	2	38.94484 148.3725 46.50031		168.585	FALSE	15|16	10220		0														
2007	202103	2	30.96615 148.3725 42.90923		106.8802	FALSE	15|16	10220		0														
#C区																								
3001	202104	2	28.11555 146.5462 72.02814		158.1808	FALSE	15|16	10130		0														
3002	202104	2	40.26427 146.5462 75.25417		188.3055	FALSE	15|16	10130		0														
3003	202102	2	30.98949 146.5462 66.10329		169.83	FALSE	17	10120		0														
3004	202102	2	26.0544 146.5462 70.10615		128.6861	FALSE	15|16|17	10120		0														
3005	202102	2	38.91305 146.5462 77.00612		207.2244	FALSE	15|16|17	10120		0														
3006	202103	2	32.55447 146.5462 72.35802		188.6906	FALSE	15|16	10220		0														
3007	202103	2	34.91343 146.5462 71.13892		197.0351	FALSE	15|16	10220		0														
3008	202103	2	42.39326 146.5462 76.11922		207.2315	FALSE	15|16	10220		0														
