Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	81.03865 150.0578 13.19879		-78.35867	FALSE		0																
20002	2	3	81.03865 150.0578 13.19879		-78.35867	FALSE		0																
#A区																								
1001	103101	2	64.05202 150.0578 12.46572	68.26762 150.0578 18.74514	33.87485	FALSE	15|16	10110		1		68.26762 150.0578 18.74514												
1002	103101	2	61.84062 150.0578 13.44787	67.54594 150.0578 21.17771	43.43267	FALSE	15|16	10110		1		67.54594 150.0578 21.17771												
1003	103101	2	57.14761 150.0578 26.21473	57.27031 150.0578 21.36828	188.6634	FALSE	15|16	10110		1		57.27031 150.0578 21.36828												
1004	103101	2	54.77095 150.0578 25.76043	54.46421 150.0578 21.65015	179.1056	FALSE	15|16	10110		1		54.46421 150.0578 21.65015												
1005	103102	2	59.84643 150.0578 12.98739	64.01805 150.0578 19.06085	46.24775	FALSE	15|16	10120		1		64.01805 150.0578 19.06085												
1006	103102	2	63.55455 150.0578 24.50496	58.52406 150.0578 18.92234	191.4784	FALSE	15|16	10120		1		58.52406 150.0578 18.92234												
1007	103102	2	58.52314 150.0578 27.73022	58.70718 150.0578 22.88377	191.4784	FALSE	15|16	10120		1		58.70718 150.0578 22.88377												
#B区																								
2001	103101	2	40.27409 148.3725 36.65459		97.0731	FALSE	15|16	10110		0														
2002	103101	2	39.72779 148.3725 38.79464		119.1592	FALSE	15|16	10110		0														
2003	103101	2	31.50011 148.3725 46.4673		137.9419	FALSE	15|16	10110		0														
2004	103101	2	32.48727 148.3725 48.44308		160.028	FALSE	15|16	10110		0														
2005	103103	2	38.28511 148.3725 35.76675		89.62479	FALSE	15|16	10220		0														
2006	103103	2	40.08426 148.3725 46.15987		175.0946	FALSE	15|16	10220		0														
2007	103103	2	29.41506 148.3725 47.09735		130.4936	FALSE	15|16	10220		0														
#C区																								
3001	103104	2	27.78446 146.5462 73.56714		158.3256	FALSE	15|16	10210		0														
3002	103104	2	40.23126 146.5462 77.30714		202.4604	FALSE	15|16	10210		0														
3003	103101	2	28.71969 146.5462 66.57002		153.8943	FALSE	15|16	10110		0														
3004	103101	2	32.01427 146.5462 67.29364		183.1444	FALSE	15|16	10110		0														
3005	103103	2	29.93798 146.5462 68.48291		169.8551	FALSE	15|16	10220		0														
3006	103103	2	28.8427 146.5462 75.77219		172.8647	FALSE	15|16	10220		0														
3007	103103	2	40.66526 146.5462 74.73539		216.389	FALSE	15|16	10220		0														
3008	103103	2	38.20382 146.5462 79.38422		190.7901	FALSE	15|16	10220		0														
