Id	LinkId	CampId	Pos	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	46.66206 150.039 9.005689	48.79091	FALSE		0																
20002	2	3	46.66206 150.039 9.005689	48.79091	FALSE		0																
#A区																							
1001	90021	2	51.22935 150.039 22.5947	166.3857	FALSE	15|16|17	10210		0														
1002	90022	2	54.70865 150.039 10.54553	252.9089	FALSE	15|16|17	10220		0														
1003	90022	2	53.48767 150.039 13.34689	218.7567	FALSE	15|16|17	10220		0														
1004	90022	2	47.82667 150.039 15.23123	165.3567	FALSE	15|16|17	10220		0														
1005	90022	2	60.83048 150.039 17.22002	240.9313	FALSE	15|16|17	10220		0														
1006	90022	2	54.75291 150.039 23.84072	197.8809	FALSE	15|16|17	10220		0														
#B区																							
2001	90024	2	58.00124 151.3389 41.69944	193.7853	FALSE	15|16|17	20001		0														
2002	90024	2	51.46868 151.3389 44.1854	125.6313	FALSE	15|16|17	20001		0														
2003	90025	2	52.75908 151.3415 33.81554	91.85425	FALSE	15|16|17	10530		0														
2004	90025	2	51.50328 151.3415 34.77581	102.9163	FALSE	15|16|17	10530		0														
2005	90025	2	56.26188 151.3415 40.61286	188.5648	FALSE	15|16|17	10530		0														
2006	90025	2	49.97184 151.3415 44.38972	138.7974	FALSE	15|16|17	10530		0														
2007	90025	2	51.22367 151.3415 46.04709	120.4107	FALSE	15|16|17	10530		0														
#C区																							
3001	90024	2	42.99228 152.2732 61.81054	131.173	FALSE	15|16|17	20001		0														
3002	90024	2	53.45422 152.2732 63.37583	173.19	FALSE	15|16|17	20001		0														
3003	90025	2	52.25211 152.2732 61.3895	168.0719	FALSE	15|16|17	10530		0														
3004	90025	2	43.50901 152.2732 59.25029	117.3837	FALSE	15|16|17	10530		0														
3005	90025	2	49.60441 152.2732 68.20156	170.6643	FALSE	15|16|17	10530		0														
3006	90025	2	47.44173 152.2732 67.44955	159.5983	FALSE	15|16|17	10530		0														
3007	90025	2	54.50197 152.2732 61.81466	179.1378	FALSE	15|16|17	10530		0														
3008	90023	2	41.3161 152.2732 58.9091	114.5521	FALSE	15|16|17	20001		0														
3009	90023	2	48.01976 152.2732 69.75537	167.8327	FALSE	15|16|17	20001		0														
