Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	23.49665 177.9194 11.85436		47.79936	FALSE		0																
20002	2	3	23.49665 177.9194 11.85437		48.79936	FALSE		0																
#A区																								
1001	203101	2	31.89246 177.9194 23.31957		183.5365	FALSE	15|16|17	20001		0														
1002	203101	2	39.97668 177.9194 21.66438		302.9814	FALSE	15|16|17	20001		0														
1003	203101	2	41.61682 177.9194 32.97145		211.3053	FALSE	15|16|17	20001		0														
1004	203103	2	37.0251 177.9194 18.56326		266.9555	FALSE	15|16|17	20002		0														
1005	203103	2	42.25064 177.9194 21.99483		302.9814	FALSE	15|16|17	20002		0														
1006	203103	2	41.22002 177.9194 35.23475		211.3053	FALSE	15|16|17	20002		0														
1007	203102	2	33.46814 177.9194 22.90857		199.758	FALSE	15|16|17	20001		0														
1008	203102	2	41.83518 177.9194 24.28034		302.9814	FALSE	15|16|17	20001		0														
1009	203102	2	38.94762 177.9194 34.75262		211.3053	FALSE	15|16|17	20001		0														
#B区																								
2001	203101	2	63.65274 177.9194 49.44648		137.8633	FALSE	15|16|17	20001		0														
2002	203101	2	68.07388 177.972 50.00769		207.2089	FALSE	15|16|17	20001		0														
2003	203101	2	68.49684 177.9194 39.34701		235.715	FALSE	15|16|17	20001		0														
2004	203103	2	62.62572 177.9194 51.39138		146.3548	FALSE	15|16|17	20002		0														
2005	203103	2	63.33766 177.9194 59.68546		177.7032	FALSE	15|16|17	20002		0														
2006	203103	2	69.02931 177.9194 52.01451		205.9143	FALSE	15|16|17	20002		0														
2007	203103	2	66.92436 177.9194 59.63415		188.3168	FALSE	15|16|17	20002		0														
2008	203104	2	64.94955 177.9194 57.59474		182.6561	FALSE	15|16|17	20002		0														
2009	203102	2	68.37978 177.9194 56.65043		187.5242	FALSE	15|16|17	20001		0														
2010	203102	2	61.60427 177.9194 56.16528		177.7032	FALSE	15|16|17	20001		0														
2011	203102	2	70.19404 177.9194 36.38635		235.715	FALSE	15|16|18	20001		0														
