Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	14.77668 150.0559 10.8915		59.28886	FALSE		0																
20002	2	3	14.77668 150.0559 10.8915		59.28886	FALSE		0																
#A区																								
1001	101101	2	24.88393 150.0559 17.65782		238.3048	FALSE	15|16	10110		0														
1002	101101	2	23.32049 150.0559 18.51254		229.1364	FALSE	15|16	10110		0														
1003	101101	2	31.53776 150.0559 22.54206		251.6102	FALSE	15|16	10110		0														
1004	101101	2	32.65573 150.0559 21.15462		260.7786	FALSE	15|16	10110		0														
1005	101102	2	22.80322 150.0559 21.38262		197.9088	FALSE	15|16	10120		0														
1006	101102	2	34.2973 150.0559 18.76708		309.6279	FALSE	15|16	10120		0														
#B区																								
2001	101103	2	44.59765 150.0559 40.21389		155.3083	FALSE	17	10120		0														
2002	101101	2	48.0423 150.0559 33.00557		261.2666	FALSE	15|16	10110		0														
2003	101101	2	46.95707 150.0559 34.2429		207.4748	FALSE	15|16	10110		0														
2004	101101	2	45.82797 150.0559 45.505		150.6212	FALSE	15|16	10110		0														
2005	101101	2	47.45734 150.0559 45.73713		204.4129	FALSE	15|16	10110		0														
2006	101102	2	47.15662 150.0559 36.15016		199.175	FALSE	15|16	10120		0														
2007	101102	2	50.09073 150.0559 45.65288		228.7081	FALSE	15|16	10120		0														
#C区																								
3001	101104	2	36.24648 150.0559 68.22202		118.8984	FALSE	15|16	50110		0														
3002	101103	2	43.49989 150.0559 70.85125		212.6465	FALSE	15|16|17	10120		0														
3003	101101	2	40.8574 150.0559 63.72442		164.4036	FALSE	15|16	10110		0														
3004	101101	2	44.63298 150.0559 64.47982		171.1596	FALSE	15|16	10110		0														
3005	101101	2	35.87676 150.0559 66.35236		176.121	FALSE	15|16	10110		0														
3006	101101	2	37.35321 150.0559 70.29479		143.4832	FALSE	15|16	10110		0														
3007	101102	2	41.71805 150.0559 65.42856		160.3389	FALSE	15|16	10120		0														
