Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	22.17581 149.9641 26.55249		39.27853	FALSE		0																
20002	2	3	22.17581 149.9641 26.55250		40.27853	FALSE		0																
#A区																								
1001	202601	2	23.88921 150.206 38.94885		145.5797	FALSE	15|16|17	20002		0														
1002	202601	2	37.74294 150.206 38.09589		251.7446	FALSE	15|16|17	20002		0														
1003	202601	2	33.58527 150.206 30.06219		284.6849	FALSE	15|16|17	20002		0														
1004	202601	2	38.28696 150.206 34.19184		265.5764	FALSE	15|16|17	20002		0														
1005	202602	2	40.31988 150.206 36.66999		262.2916	FALSE	15|16|17	20001		0														
1006	202602	2	26.48154 150.206 39.88075		194.6292	FALSE	15|16|17	20001		0														
1007	202602	2	34.00753 149.9641 27.78902		290.4706	FALSE	15|16|18	20001		0														
1008	202602	2	34.68113 151.4333 31.30145		297.8356	FALSE	15|16|19	20001		0														
1009	202601	2	29.24329 150.206 39.35203		225.1528	FALSE	15|16|20	20002		0														
#B区																								
2001	202601	2	39.88124 152.3865 60.44406		157.1873	FALSE	15|16|17	20002		0														
2002	202601	2	48.59333 152.3865 64.35778		173.9692	FALSE	15|16|17	20002		0														
2003	202601	2	51.63283 152.3865 50.87767		304.7329	FALSE	15|16|17	20002		0														
2004	202601	2	52.49288 152.3865 53.64541		288.7632	FALSE	15|16|17	20002		0														
2005	202602	2	41.89412 152.3865 59.04062		168.3689	FALSE	15|16|17	20001		0														
2006	202602	2	39.30775 152.3865 58.18932		143.7747	FALSE	15|16|17	20001		0														
2007	202602	2	51.77456 152.3865 63.57697		217.5415	FALSE	15|16|17	20001		0														
2008	202602	2	54.18409 152.3865 51.40743		282.8283	FALSE	15|16|17	20001		0														
2009	202603	2	50.4182 152.3861 65.71972		194.3477	FALSE	15|16|17	20002		0														
