Id	LinkId	CampId	Pos	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	68.00967 152.1759 13.39094	-36.70804	FALSE		0																
20002	2	3	68.00967 152.1759 13.39094	-36.70804	FALSE		0																
#A区																							
1001	90053	2	55.17155 152.1759 30.1851	157.2834	FALSE	15|16|17	10140		0														
1002	90051	2	55.53569 152.1759 20.6907	316.6758	FALSE	15|16|17	10110		0														
1003	90051	2	55.91669 152.1759 22.84247	255.5962	FALSE	15|16|17	10110		0														
1004	90051	2	61.29163 152.1759 27.80069	231.3569	FALSE	15|16|17	10110		0														
1005	90052	2	53.38828 152.1759 22.27775	104.9403	FALSE	15|16|17	20002		0														
1006	90052	2	55.92807 152.1759 31.78014	171.3981	FALSE	15|16|17	20002		0														
#B区																							
2001	90054	2	33.54834 155.4317 49.22936	136.3154	FALSE	15|16|17	10150		0														
2002	90051	2	31.95137 155.4317 46.62601	103.5606	FALSE	15|16|17	10110		0														
2003	90051	2	36.93608 155.4317 50.30688	170.0215	FALSE	15|16|17	10110		0														
2004	90052	2	30.17234 155.4317 48.74273	109.4973	FALSE	15|16|17	20002		0														
2005	90052	2	34.68961 155.4317 52.32109	166.0023	FALSE	15|16|17	20002		0														
