Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	29.93965 170.0529 21.01359		8.126862	FALSE		0																
20002	2	3	29.93965 170.0529 21.01359		8.126862	FALSE		0																
#A区																								
1001	201603	2	35.01133 170.0529 43.37216		187.5381	FALSE	15|16	20002		0														
1002	201601	2	30.94032 169.7124 37.34641		180.2674	FALSE	15|16	20001		0														
1003	201601	2	33.802 169.7124 37.27722		184.6226	FALSE	15|16	20001		0														
1004	201601	2	36.92506 169.7124 36.75416		194.6282	FALSE	15|16	20001		0														
1005	201601	2	39.57404 169.7124 35.66908		204.2009	FALSE	15|16	20001		0														
1006	201601	2	28.16145 169.7124 37.03184		165.7697	FALSE	15|16	20001		0														
1007	201602	2	29.38157 170.0529 40.76022		179.0593	FALSE	15|16	20002		0														
1008	201602	2	32.71752 170.0529 40.70553		179.0593	FALSE	15|16	20002		0														
1009	201602	2	36.39758 170.0529 40.39347		186.9925	FALSE	15|16	20002		0														
1010	201602	2	39.69394 170.0529 39.36612		193.6773	FALSE	15|16	20002		0														
1011	201602	2	26.41362 170.0529 40.46682		170.3568	FALSE	15|16	20002		0														
1012	201602	2	42.69021 170.0529 37.91064		210.5293	FALSE	15|16	20002		0														
