Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	22.24265 150.0819 25.94626		49.5735	FALSE		0																
20002	2	3	22.24265 150.0819 25.94626		49.5735	FALSE		0																
#A区																								
1001	203901	2	30.89541 150.0819 29.27063		230.2491	FALSE	15|16	20001		0														
1002	203901	2	30.22701 150.0819 31.06941		230.2491	FALSE	15|16	20001		0														
1003	203901	2	35.45487 150.0819 38.42714		230.2491	FALSE	15|16	20001		0														
1004	203902	2	30.30416 150.0824 35.73162		197.893	FALSE	15|16	20002		0														
1005	203902	2	37.10508 150.0824 38.67361		230.9262	FALSE	15|16	20002		0														
#B区																								
2001	203903	2	48.47062 152.3861 56.27401		220.6899	FALSE	15|16	50130		0														
2002	203901	2	49.3474 152.3861 53.51896		234.1051	FALSE	15|16	20001		0														
2003	203901	2	45.96076 152.3861 56.16793		216.078	FALSE	15|16	20001		0														
2004	203902	2	54.02067 152.3861 52.46447		250.7779	FALSE	15|16	20002		0														
2005	203902	2	43.37988 152.3861 59.62111		172.764	FALSE	15|16	20002		0														
