Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	20.99053 156.3898 74.48689		-210.849	FALSE		0																
20002	2	3	20.99053 156.3898 74.48689		-210.849	FALSE		0																
#A区																								
1001	102301	2	27.31986 156.3898 69.80605		129.2991	FALSE	15|16	10110		0														
1002	102301	2	27.11328 156.3898 67.37069		91.89216	FALSE	15|16	10110		0														
1003	102301	2	27.85341 156.3898 61.43694		224.9824	FALSE	15|16	10110		0														
1004	102303	2	29.59059 156.3898 68.08382		299.534	FALSE	15|16	10220		0														
1005	102303	2	26.42872 156.3898 60.08856		5.85828	FALSE	15|16	10220		0														
1006	102303	2	22.52008 156.3898 62.33899	22.74539 156.3898 68.64773	5.858292	FALSE	15|16	10220		1		22.74539 156.3898 68.64773												
#B区																								
2001	102302	2	35.89961 156.4089 37.61123		332.553	FALSE	17	10120		0														
2002	102302	2	45.26051 156.4089 41.43209		22.48266	FALSE	15|16|17	10120		0														
2003	102303	2	33.28397 156.4089 38.40386		112.8798	FALSE	15|16	10220		0														
2004	102303	2	36.8474 156.4089 40.00282		184.589	FALSE	15|16	10220		0														
2005	102303	2	46.64175 156.4089 39.59943		272.1275	FALSE	15|16	10220		0														
2006	102303	2	45.14776 156.4089 37.50817		283.3225	FALSE	15|16	10220		0														
#C区																								
3001	102304	2	68.93923 157.9561 34.73457		275.9774	FALSE	15|16	10210		0														
3002	102303	2	62.87225 157.9561 29.62537		322.225	FALSE	15|16	10220		0														
3003	102303	2	65.17393 157.9561 40.8786		197.7599	FALSE	15|16	10220		0														
3004	102303	2	66.20265 157.9561 30.30983		296.9123	FALSE	15|16	10220		0														
3005	102303	2	70.93676 157.9561 35.90093		262.6472	FALSE	15|16	10220		0														
