Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	21.97443 151.782 34.36901		-211.1756	FALSE		0																
20002	2	3	21.97443 151.782 34.36901		-211.1756	FALSE		0																
#A区																								
1001	203301	2	26.67651 151.7706 23.36083		0	FALSE	15|16|17	20002		0														
1002	203301	2	34.83657 151.7706 31.4954		268.4214	FALSE	15|16|17	20002		0														
1003	203302	2	24.6276 151.7669 23.3047		0	FALSE	15|16|17	20001		0														
1004	203302	2	38.16582 151.782 25.63496		285.6842	FALSE	15|16|17	20001		0														
1005	203302	2	39.12245 151.7669 27.47124		285.6842	FALSE	15|16|17	20001		0														
1006	203302	2	33.28559 151.7669 32.58044		268.4214	FALSE	15|16|17	20001		0														
1007	203302	2	33.39655 151.7669 30.09458		268.4214	FALSE	15|16|17	20001		0														
1008	203303	2	40.47042 151.7612 26.05791		285.6842	FALSE	15|16|17	20002		0														
#B区																								
2001	203301	2	54.7694 149.9993 51.85037		42.02391	FALSE	15|16|17	20002		0														
2002	203301	2	57.09453 149.9993 52.02664		341.7346	FALSE	15|16|17	20002		0														
2003	203301	2	50.26367 149.9993 48.22417		185.5843	FALSE	15|16|17	20002		0														
2004	203302	2	59.09415 149.9957 43.47386		64.02431	FALSE	15|16|17	20001		0														
2005	203302	2	58.76296 149.9957 45.65253		123.9999	FALSE	15|16|17	20001		0														
2006	203302	2	51.07393 149.9957 46.37833		185.5843	FALSE	15|16|17	20001		0														
2007	203302	2	48.77412 149.9957 46.77963		185.5843	FALSE	15|16|17	20001		0														
2008	203303	2	55.82228 149.9899 53.80476		173.96	FALSE	15|16|17	20002		0														
2009	203303	2	60.98169 149.9899 44.66998		261.5754	FALSE	15|16|17	20002		0														
#C区																								
3001	203301	2	36.38141 150.0013 65.51167		134.5273	FALSE	15|16|17	20002		0														
3002	203301	2	40.61248 150.0013 69.65711		134.5273	FALSE	15|16|17	20002		0														
3003	203301	2	47.11969 150.0013 65.74728		168.4779	FALSE	15|16|17	20002		0														
3004	203302	2	37.92504 149.9977 66.78646		132.1429	FALSE	15|16|17	20001		0														
3005	203302	2	39.21905 149.9977 68.16679		132.1429	FALSE	15|16|17	20001		0														
3006	203302	2	49.70058 149.8991 65.29862		178.8356	FALSE	15|16|17	20001		0														
3007	203304	2	36.9389 149.992 69.23389		134.5273	FALSE	15|16|17	20002		0														
3008	203303	2	48.31218 149.9278 67.00562		175.0895	FALSE	15|16|17	20002		0														
