Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	22.89868 150.083 14.16725		64.53015	FALSE		0																
20002	2	3	22.89868 150.083 14.16725		64.53015	FALSE		0																
#A区																								
1001	102801	2	37.5743 150.083 14.09106		45.371	FALSE	15|16	10110		0														
1002	102801	2	37.05344 150.083 16.75877		109.378	FALSE	15|16	10110		0														
1003	102801	2	37.11856 150.083 27.96487		203.4867	FALSE	15|16	10110		0														
1004	102801	2	34.42039 150.083 27.63649		139.4796	FALSE	15|16	10110		0														
1005	102802	2	39.75963 150.0925 15.81058		267.4791	FALSE	15|16	10120		0														
1006	102802	2	35.58181 150.0925 29.71219		177.3057	FALSE	15|16	10120		0														
1007	102802	2	42.23427 150.0925 27.16855	35.73752 150.0925 20.59059	267.4791	FALSE	15|16	10120		1		35.73752 150.0925 20.59059												
#B区																								
2001	102803	2	31.43398 150.0925 52.055		157.1821	FALSE	15|16|17	10120		0														
2002	102803	2	30.22838 150.0925 54.65655	40.29835 150.0925 52.30147	157.1821	FALSE	15|16	10120		1		40.29835 150.0925 52.30147												
2003	102803	2	45.67488 150.0925 55.60207		231.884	FALSE	17	10120		0														
2004	102801	2	29.63736 150.0925 48.07449		333.4304	FALSE	15|16	10110		0														
2005	102801	2	31.2322 150.0925 49.81089		286.007	FALSE	15|16	10110		0														
2006	102801	2	42.89017 150.0925 55.14795		76.97919	FALSE	15|16	10110		0														
2007	102801	2	44.66306 150.0925 53.03189		33.24074	FALSE	15|16	10110		0														
#C区																								
3001	102804	2	65.72597 150.0925 67.25726		241.0299	FALSE	15|16	10130		0														
3002	102803	2	69.13277 150.0925 61.33537		285.2054	FALSE	15|16|17	10120		0														
3003	102803	2	62.40186 150.0925 71.77934		198.6078	FALSE	15|16|17	10120		0														
3004	102803	2	70.51113 150.0925 69.72806		239.0962	FALSE	15|16|17	10120		0														
3005	102801	2	64.90331 150.0925 65.3996		235.8967	FALSE	15|16	10110		0														
3006	102801	2	63.50861 150.0925 67.61991		212.7013	FALSE	15|16	10110		0														
3007	102801	2	68.47246 150.0925 70.65411		246.5943	FALSE	15|16	10110		0														
