Id	LinkId	CampId	Pos	Pos2	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	25.30161 150.2592 15.76821		66.0393	FALSE		0																
20002	2	3	25.30161 150.2592 15.76821		66.0393	FALSE		0																
#A区																								
1001	101503	2	33.22189 150.0613 19.01346		216.5986	FALSE	15|16	10110		0														
1002	101503	2	35.31192 150.0613 16.61791		244.7404	FALSE	15|16	10110		0														
1003	101503	2	41.1779 150.0613 24.21431		208.8909	FALSE	15|16	10110		0														
1004	101503	2	38.08082 150.0613 24.93199		180.7492	FALSE	15|16	10110		0														
1005	101504	2	35.04687 150.0804 20.65985		207.0809	FALSE	15|16	10120		0														
1006	101504	2	41.2995 150.0804 26.82998		199.243	FALSE	15|16	10120		0														
#B区																								
2001	101503	2	29.53231 150.0925 48.45478		343.0046	FALSE	15|16	10110		0														
2002	101503	2	32.54529 150.0925 49.30867		311.2306	FALSE	15|16	10110		0														
2003	101503	2	42.93368 150.0925 51.2155		241.1695	FALSE	15|16	10110		0														
2004	101503	2	40.98178 150.0925 53.49886		227.9619	FALSE	15|16	10110		0														
2005	101503	2	39.38902 150.0925 56.90429		209.7456	FALSE	15|16	10110		0														
2006	101504	2	30.68324 150.0925 51.37955		180.2802	FALSE	15|16	10120		0														
2007	101504	2	38.37532 150.0925 54.81128		231.3412	FALSE	15|16	10120		0														
#C区																								
3001	101505	2	69.89537 150.0925 70.90878		236.4755	FALSE	15|16	20001		0														
3002	101503	2	64.87214 150.0925 66.26833		248.2259	FALSE	15|16	20001		0														
3003	101503	2	64.84421 150.0925 61.69245		285.6035	FALSE	15|16	20001		0														
3004	101503	2	70.1804 150.0925 74.36472		225.1575	FALSE	15|16	20001		0														
3005	101503	2	73.49258 150.0925 70.3912		240.7179	FALSE	15|16	20001		0														
3006	101504	2	67.04987 150.0925 62.96892		281.5265	FALSE	15|16	20002		0														
3007	101504	2	61.60624 150.0925 69.26685	66.85451 150.0925 74.90752	247.1336	FALSE	15|16	20002		1		66.85451 150.0925 74.90752												
#剧情NPC																								
10001	101599	3	25.25416 150.2804 13.43294		43.0963	TRUE		0		0														
10002	101598	2	38.22628 150.0613 21.20614		243.5262	FALSE		20002		1		32.78659 150.0613 17.72283												
