Id	LinkId	CampId	Pos	RotAngle	IsEnable	IdleAnimSet	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	19.2744 156.4737 76.68798	166.7695	FALSE		0																
20002	2	3	19.2744 156.4737 76.68798	166.7695	FALSE		0																
#A区																							
1001	90041	2	30.06421 156.4737 67.94123	166.7695	FALSE	15|16|17	20002		1		21.48459 156.4737 65.92409												
1002	90041	2	22.13205 156.4737 62.50929	115.7426	FALSE	15|16|17	20002		1		30.01985 156.4737 61.39519												
1003	90042	2	20.71359 156.4694 69.26406	346.8694	FALSE	15|16|17	20001		0														
1004	90042	2	22.89268 156.4694 69.76377	26.47048	FALSE	15|16|17	20001		0														
1005	90042	2	30.40463 156.4694 69.0495	346.8694	FALSE	15|16|17	20001		1		22.03932 156.4694 67.09811												
1006	90042	2	28.61662 156.4694 63.36361	346.8694	FALSE	15|16|17	20001		0														
1007	90042	2	30.05317 156.4694 64.50033	320.0804	FALSE	15|16|17	20001		0														
#B区																							
2001	90044	2	31.4359 156.474 41.74129	0	FALSE	15|16|17	20001		0														
2002	90044	2	42.66179 156.474 40.65715	319.1658	FALSE	15|16|17	20001		0														
2003	90045	2	41.95232 156.474 38.64961	21.743	FALSE	15|16|17	20002		0														
2004	90041	2	33.04279 156.474 37.40643	0	FALSE	15|16|17	20002		1		39.16002 156.474 44.776												
2005	90041	2	46.23422 156.474 40.69495	0	FALSE	15|16|17	20002		1		40.21332 156.474 34.14421												
2006	90042	2	30.51677 156.474 43.23549	11.72961	FALSE	15|16|17	20001		0														
2007	90042	2	32.46593 156.474 43.44958	325.7208	FALSE	15|16|17	20001		0														
#C区																							
3001	90044	2	61.45359 158.0212 31.66581	310.5488	FALSE	15|16|17	20001		0														
3002	90044	2	70.00949 158.0212 32.33114	280.158	FALSE	15|16|17	20001		0														
3003	90044	2	68.81302 158.0212 39.46729	222.102	FALSE	15|16|17	20001		0														
3004	90041	2	62.23725 158.0212 40.6088	0	FALSE	15|16|17	20002		1		67.2083 158.0212 29.1811												
3005	90043	2	71.59566 158.0212 40.07403	0	FALSE	15|16|17	20002		0														
3006	90043	2	73.46735 158.0212 31.91885	0	FALSE	15|16|17	20002		0														
3007	90042	2	59.99899 158.0212 31.34632	308.7371	FALSE	15|16|17	20001		0														
3008	90042	2	61.61917 158.0212 33.41032	276.3744	FALSE	15|16|17	20001		0														
